folder_type,subfolder,filename,response,yes_no,explanation
raw,mitotic,ann_155.png,"Yes. The cell at the center displays the characteristic condensed, irregular, and angular chromosomal architecture of a mitotic figure, lacking a defined nuclear membrane.",yes.,"The cell at the center displays the characteristic condensed, irregular, and angular chromosomal architecture of a mitotic figure, lacking a defined nuclear membrane."
raw,mitotic,ann_156.png,"YES. The central cell displays condensed, dark chromatin material lacking a nuclear membrane, consistent with an active mitotic figure.",yes.,"The central cell displays condensed, dark chromatin material lacking a nuclear membrane, consistent with an active mitotic figure."
raw,mitotic,ann_162.png,"No. The cell at the center has a visible, intact nuclear membrane and a round, well-defined nucleolus, which is characteristic of a resting interphase nucleus rather than the condensed, irregular chromosomal structure of a mitotic figure.",no.,"The cell at the center has a visible, intact nuclear membrane and a round, well-defined nucleolus, which is characteristic of a resting interphase nucleus rather than the condensed, irregular chromosomal structure of a mitotic figure."
raw,mitotic,ann_165.png,"YES. The cell at the center exhibits condensed, dark, and disorganized chromosomal material characteristic of an active mitotic figure, rather than the intact nuclear membrane found in pyknotic or hyperchromatic nuclei.",yes.,"The cell at the center exhibits condensed, dark, and disorganized chromosomal material characteristic of an active mitotic figure, rather than the intact nuclear membrane found in pyknotic or hyperchromatic nuclei."
raw,mitotic,ann_168.png,"YES. The central cell displays condensed, dark chromatin in a distinct, irregular arrangement characteristic of mitotic chromosomes, with no visible nuclear membrane.",yes.,"The central cell displays condensed, dark chromatin in a distinct, irregular arrangement characteristic of mitotic chromosomes, with no visible nuclear membrane."
raw,mitotic,ann_169.png,"Yes. The cell at the center shows a distinct, dark, condensed cluster of chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane surrounding the disorganized genetic structures.",yes.,"The cell at the center shows a distinct, dark, condensed cluster of chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane surrounding the disorganized genetic structures."
raw,mitotic,ann_17.png,"YES. The central cell displays highly condensed, dark, irregular chromosomal material arranged in a clustered configuration with an absent nuclear membrane, which are hallmark features of a mitotic figure.",yes.,"The central cell displays highly condensed, dark, irregular chromosomal material arranged in a clustered configuration with an absent nuclear membrane, which are hallmark features of a mitotic figure."
raw,mitotic,ann_171.png,"YES. The central cell displays condensed, dark, angular chromosome clusters consistent with the mitotic stage of division, lacking an intact nuclear membrane.",yes.,"The central cell displays condensed, dark, angular chromosome clusters consistent with the mitotic stage of division, lacking an intact nuclear membrane."
raw,mitotic,ann_172.png,"Yes. The cell at the center shows condensed, dark chromosomal material arranged in a V-shape with a loss of the nuclear membrane, which are hallmark features of a mitotic figure.",yes.,"The cell at the center shows condensed, dark chromosomal material arranged in a V-shape with a loss of the nuclear membrane, which are hallmark features of a mitotic figure."
raw,mitotic,ann_18.png,"Yes. The cell at the center displays condensed, dark, and irregularly shaped chromosomal material with no intact nuclear membrane, which are classic morphological features of a cell in an active phase of mitosis.",yes.,"The cell at the center displays condensed, dark, and irregularly shaped chromosomal material with no intact nuclear membrane, which are classic morphological features of a cell in an active phase of mitosis."
raw,mitotic,ann_193.png,"YES. The cell at the center displays condensed, irregular, and dark chromatin structures characteristic of chromosomal alignment during mitosis, with no visible nuclear membrane.",yes.,"The cell at the center displays condensed, irregular, and dark chromatin structures characteristic of chromosomal alignment during mitosis, with no visible nuclear membrane."
raw,mitotic,ann_194.png,"YES. The cell at the center displays condensed, dark, V-shaped chromosomal material and lacks a visible nuclear membrane, which are hallmark features of a mitotic figure in metaphase or anaphase.",yes.,"The cell at the center displays condensed, dark, V-shaped chromosomal material and lacks a visible nuclear membrane, which are hallmark features of a mitotic figure in metaphase or anaphase."
raw,mitotic,ann_196.png,"Yes. The cell at the center shows clear, clumped, and irregular chromosomal material devoid of a nuclear membrane, consistent with a mitotic figure in the metaphase or anaphase stage.",yes.,"The cell at the center shows clear, clumped, and irregular chromosomal material devoid of a nuclear membrane, consistent with a mitotic figure in the metaphase or anaphase stage."
raw,mitotic,ann_20.png,"Yes. The central cell displays highly condensed, dark, irregular chromosomal material arranged in a V-shape, indicative of a mitotic figure in the metaphase or anaphase stage where the nuclear membrane is no longer apparent.",yes.,"The central cell displays highly condensed, dark, irregular chromosomal material arranged in a V-shape, indicative of a mitotic figure in the metaphase or anaphase stage where the nuclear membrane is no longer apparent."
raw,mitotic,ann_200.png,"YES. The cell at the center exhibits condensed, dark, V-shaped chromosomal material with no intact nuclear membrane, which is characteristic of a mitotic figure in metaphase.",yes.,"The cell at the center exhibits condensed, dark, V-shaped chromosomal material with no intact nuclear membrane, which is characteristic of a mitotic figure in metaphase."
raw,mitotic,ann_201.png,"YES. The cell at the center exhibits a clear, irregular configuration of dark, condensed chromatin arranged in a V-shaped pattern characteristic of a mitotic figure, with no evidence of an intact nuclear membrane.",yes.,"The cell at the center exhibits a clear, irregular configuration of dark, condensed chromatin arranged in a V-shaped pattern characteristic of a mitotic figure, with no evidence of an intact nuclear membrane."
raw,mitotic,ann_202.png,"Yes. The cell at the center exhibits characteristic chromosome condensation into a distinct, dark, irregular, and somewhat asymmetric structure that lacks a visible nuclear membrane, consistent with a mitotic figure.",yes.,"The cell at the center exhibits characteristic chromosome condensation into a distinct, dark, irregular, and somewhat asymmetric structure that lacks a visible nuclear membrane, consistent with a mitotic figure."
raw,mitotic,ann_204.png,"Yes. The cell at the center exhibits a dark, irregularly shaped cluster of condensed chromatin with distinct chromosome structure, characteristic of the metaphase stage of mitosis where the nuclear membrane has dissolved.",yes.,"The cell at the center exhibits a dark, irregularly shaped cluster of condensed chromatin with distinct chromosome structure, characteristic of the metaphase stage of mitosis where the nuclear membrane has dissolved."
raw,mitotic,ann_206.png,"YES. The cell at the center shows a condensed, irregular, and darkly stained mass of chromatin lacking a nuclear membrane, consistent with the characteristic appearance of a mitotic figure in metaphase or anaphase.",yes.,"The cell at the center shows a condensed, irregular, and darkly stained mass of chromatin lacking a nuclear membrane, consistent with the characteristic appearance of a mitotic figure in metaphase or anaphase."
raw,mitotic,ann_211.png,"YES. The cell at the center exhibits a dark, elongated, and irregular condensation of chromatin that lacks a defined nuclear membrane, characteristic of a mitotic figure (likely in metaphase or anaphase).",yes.,"The cell at the center exhibits a dark, elongated, and irregular condensation of chromatin that lacks a defined nuclear membrane, characteristic of a mitotic figure (likely in metaphase or anaphase)."
raw,mitotic,ann_212.png,"Yes. The cell at the center displays condensed, dark, and disorganized chromosomal material with no distinct nuclear membrane, characteristic of a mitotic figure in a state of active cell division.",yes.,"The cell at the center displays condensed, dark, and disorganized chromosomal material with no distinct nuclear membrane, characteristic of a mitotic figure in a state of active cell division."
raw,mitotic,ann_213.png,"Yes. The cell at the center displays condensed, dark, irregularly shaped chromosomal material with a lack of a clear nuclear membrane, characteristic of an active mitotic figure.",yes.,"The cell at the center displays condensed, dark, irregularly shaped chromosomal material with a lack of a clear nuclear membrane, characteristic of an active mitotic figure."
raw,mitotic,ann_215.png,"Yes. The cell at the center displays condensed, dark chromatin arranged in a chaotic, irregular pattern characteristic of a mitotic figure, with no discernible nuclear membrane.",yes.,"The cell at the center displays condensed, dark chromatin arranged in a chaotic, irregular pattern characteristic of a mitotic figure, with no discernible nuclear membrane."
raw,mitotic,ann_216.png,"Yes. The central region clearly displays two distinct cells with condensed, irregular, dark-staining chromatin characteristic of mitotic figures, specifically showing the absence of a defined nuclear membrane and the presence of scattered chromosome arms.",yes.,"The central region clearly displays two distinct cells with condensed, irregular, dark-staining chromatin characteristic of mitotic figures, specifically showing the absence of a defined nuclear membrane and the presence of scattered chromosome arms."
raw,mitotic,ann_218.png,"Yes. The cell at the center shows clearly condensed, dark chromosomal material without an intact nuclear membrane, consistent with an active mitotic figure.",yes.,"The cell at the center shows clearly condensed, dark chromosomal material without an intact nuclear membrane, consistent with an active mitotic figure."
raw,mitotic,ann_22.png,"YES. The central cell displays condensed, dark chromatin arranged in a V-shaped or cluster-like formation with no visible nuclear membrane, which are hallmark characteristics of a mitotic figure.",yes.,"The central cell displays condensed, dark chromatin arranged in a V-shaped or cluster-like formation with no visible nuclear membrane, which are hallmark characteristics of a mitotic figure."
raw,mitotic,ann_223.png,"Yes. The cell at the center shows a distinct, dark, plate-like alignment of condensed chromatin characteristic of the metaphase stage of mitosis.",yes.,"The cell at the center shows a distinct, dark, plate-like alignment of condensed chromatin characteristic of the metaphase stage of mitosis."
raw,mitotic,ann_224.png,"YES. The central cell displays condensed, irregular, and dark chromatin arranged in a pattern consistent with the chromosomes of a mitotic figure, lacking an intact nuclear membrane.",yes.,"The central cell displays condensed, irregular, and dark chromatin arranged in a pattern consistent with the chromosomes of a mitotic figure, lacking an intact nuclear membrane."
raw,mitotic,ann_225.png,"YES. The cell at the center displays characteristic chromosomal condensation, appearing as a dark, angular, and irregular structure with distinct arms, indicative of a cell actively undergoing mitosis, likely in anaphase or telophase, without an intact nuclear membrane.",yes.,"The cell at the center displays characteristic chromosomal condensation, appearing as a dark, angular, and irregular structure with distinct arms, indicative of a cell actively undergoing mitosis, likely in anaphase or telophase, without an intact nuclear membrane."
raw,mitotic,ann_232.png,"YES. The central cell displays condensed, dark chromatin arranged in a chaotic, irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane separating it from the surrounding cytoplasm.",yes.,"The central cell displays condensed, dark chromatin arranged in a chaotic, irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane separating it from the surrounding cytoplasm."
raw,mitotic,ann_238.png,"Yes. The central cell displays condensed, dark chromatin arranged in irregular, angular patterns with no discernible nuclear membrane, which are characteristic features of a mitotic figure.",yes.,"The central cell displays condensed, dark chromatin arranged in irregular, angular patterns with no discernible nuclear membrane, which are characteristic features of a mitotic figure."
raw,mitotic,ann_240.png,"Yes. The central cell exhibits a dark, irregularly shaped, condensed cluster of chromatin lacking a defined nuclear membrane, which is characteristic of the chromosomal arrangement during mitosis.",yes.,"The central cell exhibits a dark, irregularly shaped, condensed cluster of chromatin lacking a defined nuclear membrane, which is characteristic of the chromosomal arrangement during mitosis."
raw,mitotic,ann_241.png,"YES. The cell at the center exhibits condensed, dark, irregular chromosomal material that lacks an intact nuclear membrane, consistent with a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, irregular chromosomal material that lacks an intact nuclear membrane, consistent with a mitotic figure."
raw,mitotic,ann_242.png,"Yes. The cell at the center exhibits condensed, dark chromosomal material arranged in a distinct V-shaped configuration, characteristic of a mitotic figure in the process of division.",yes.,"The cell at the center exhibits condensed, dark chromosomal material arranged in a distinct V-shaped configuration, characteristic of a mitotic figure in the process of division."
raw,mitotic,ann_243.png,"Yes. The cell at the center shows clear evidence of active mitosis, characterized by the condensation of chromatin into distinct, dark, irregular structures that lack an intact nuclear membrane.",yes.,"The cell at the center shows clear evidence of active mitosis, characterized by the condensation of chromatin into distinct, dark, irregular structures that lack an intact nuclear membrane."
raw,mitotic,ann_245.png,"Yes. The cell at the center displays characteristic, highly condensed, and irregular chromosomal material lacking an intact nuclear membrane, indicative of a mitotic figure in the metaphase or anaphase stage.",yes.,"The cell at the center displays characteristic, highly condensed, and irregular chromosomal material lacking an intact nuclear membrane, indicative of a mitotic figure in the metaphase or anaphase stage."
raw,mitotic,ann_246.png,"Yes. The central cell displays condensed, dark chromatin arranged in a chaotic, irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane.",yes.,"The central cell displays condensed, dark chromatin arranged in a chaotic, irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_247.png,"Yes. The cell at the center exhibits condensed, dark chromosomal material arranged in a disorganized, irregular pattern characteristic of an active mitotic figure, with no visible nuclear membrane.",yes.,"The cell at the center exhibits condensed, dark chromosomal material arranged in a disorganized, irregular pattern characteristic of an active mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_248.png,"YES. The cell at the center displays condensed, dark, elongated chromosomal material arranged in a characteristic bar-like formation indicative of a mitotic figure, with no visible nuclear membrane.",yes.,"The cell at the center displays condensed, dark, elongated chromosomal material arranged in a characteristic bar-like formation indicative of a mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_249.png,"Yes. The cell at the center displays condensed, dark chromosomal material arranged in an irregular, fragmented pattern with no visible nuclear membrane, which is characteristic of a cell in active mitosis.",yes.,"The cell at the center displays condensed, dark chromosomal material arranged in an irregular, fragmented pattern with no visible nuclear membrane, which is characteristic of a cell in active mitosis."
raw,mitotic,ann_25.png,"Yes. The central cell displays dense, irregular, dark chromatin arranged in a distinct, chaotic structure consistent with chromosomes during mitosis, lacking an intact nuclear membrane.",yes.,"The central cell displays dense, irregular, dark chromatin arranged in a distinct, chaotic structure consistent with chromosomes during mitosis, lacking an intact nuclear membrane."
raw,mitotic,ann_250.png,"Yes. The central cell displays dense, irregular, clumped chromatin with a lack of a clear nuclear membrane, consistent with the chromosomal condensation seen in a mitotic figure.",yes.,"The central cell displays dense, irregular, clumped chromatin with a lack of a clear nuclear membrane, consistent with the chromosomal condensation seen in a mitotic figure."
raw,mitotic,ann_253.png,"Yes. The cell at the center exhibits condensed, dark, and disorganized chromatin that lacks a clear nuclear membrane, characteristic of an active mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, and disorganized chromatin that lacks a clear nuclear membrane, characteristic of an active mitotic figure."
raw,mitotic,ann_254.png,"Yes. The cell at the center exhibits clearly condensed, dark chromosomal material arranged in an irregular, V-shaped configuration characteristic of a cell in the midst of mitotic division, with no evidence of an intact nuclear membrane.",yes.,"The cell at the center exhibits clearly condensed, dark chromosomal material arranged in an irregular, V-shaped configuration characteristic of a cell in the midst of mitotic division, with no evidence of an intact nuclear membrane."
raw,mitotic,ann_258.png,"Yes. The cell at the center exhibits characteristic condensed, irregular, and somewhat elongated chromatin patterns consistent with an active mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell at the center exhibits characteristic condensed, irregular, and somewhat elongated chromatin patterns consistent with an active mitotic figure, lacking an intact nuclear membrane."
raw,mitotic,ann_259.png,"Yes. The cell at the center exhibits distinct, condensed chromosomal material without an intact nuclear membrane, characteristic of a mitotic figure in metaphase or anaphase.",yes.,"The cell at the center exhibits distinct, condensed chromosomal material without an intact nuclear membrane, characteristic of a mitotic figure in metaphase or anaphase."
raw,mitotic,ann_26.png,"YES. The cell at the center exhibits highly condensed, rod-like chromosomal material typical of a mitotic figure, with no visible nuclear membrane surrounding the disorganized chromatin.",yes.,"The cell at the center exhibits highly condensed, rod-like chromosomal material typical of a mitotic figure, with no visible nuclear membrane surrounding the disorganized chromatin."
raw,mitotic,ann_260.png,"YES. The cell at the center exhibits condensed, dark chromosomal material with an irregular, non-spherical morphology and a lack of an intact nuclear envelope, consistent with a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark chromosomal material with an irregular, non-spherical morphology and a lack of an intact nuclear envelope, consistent with a mitotic figure."
raw,mitotic,ann_262.png,"YES. The cell at the center exhibits classic features of active mitosis, including condensed, dark chromosome arms arranged in a disorganized, non-spherical, and elongated pattern with no visible nuclear membrane.",yes.,"The cell at the center exhibits classic features of active mitosis, including condensed, dark chromosome arms arranged in a disorganized, non-spherical, and elongated pattern with no visible nuclear membrane."
raw,mitotic,ann_263.png,"YES. The central cell displays condensed, dark chromatin material lacking a nuclear membrane, consistent with the metaphase or anaphase stage of mitosis.",yes.,"The central cell displays condensed, dark chromatin material lacking a nuclear membrane, consistent with the metaphase or anaphase stage of mitosis."
raw,mitotic,ann_268.png,"Yes. The cell at the center exhibits condensed, dark, irregular chromosomal material without a visible nuclear membrane, which is characteristic of a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, irregular chromosomal material without a visible nuclear membrane, which is characteristic of a mitotic figure."
raw,mitotic,ann_276.png,"YES. The central cell displays condensed, irregular, and clustered chromatin without a visible nuclear membrane, which is characteristic of the late prophase or metaphase stage of mitosis.",yes.,"The central cell displays condensed, irregular, and clustered chromatin without a visible nuclear membrane, which is characteristic of the late prophase or metaphase stage of mitosis."
raw,mitotic,ann_278.png,"Yes. The cell at the center displays the characteristic dark, condensed, and irregular chromosomal material lacking a nuclear membrane, consistent with a mitotic figure in the metaphase or anaphase stage.",yes.,"The cell at the center displays the characteristic dark, condensed, and irregular chromosomal material lacking a nuclear membrane, consistent with a mitotic figure in the metaphase or anaphase stage."
raw,mitotic,ann_279.png,"YES. The cell at the center exhibits characteristic condensed, irregular chromosomal material arranged in a star-shaped pattern with a lack of a clear nuclear membrane, consistent with the metaphase stage of mitosis.",yes.,"The cell at the center exhibits characteristic condensed, irregular chromosomal material arranged in a star-shaped pattern with a lack of a clear nuclear membrane, consistent with the metaphase stage of mitosis."
raw,mitotic,ann_281.png,"YES. The cell at the center exhibits condensed, dark, and disorganized chromosomal material lacking a visible nuclear membrane, which is characteristic of the mitotic process.",yes.,"The cell at the center exhibits condensed, dark, and disorganized chromosomal material lacking a visible nuclear membrane, which is characteristic of the mitotic process."
raw,mitotic,ann_282.png,"YES. The central cell displays a characteristically disorganized, clumped, and condensed chromatin structure typical of a mitotic figure, lacking a visible nuclear membrane.",yes.,"The central cell displays a characteristically disorganized, clumped, and condensed chromatin structure typical of a mitotic figure, lacking a visible nuclear membrane."
raw,mitotic,ann_285.png,"YES. The central cell displays condensed, irregular, and clustered chromatin material lacking a visible nuclear membrane, which is characteristic of a mitotic figure in the process of division.",yes.,"The central cell displays condensed, irregular, and clustered chromatin material lacking a visible nuclear membrane, which is characteristic of a mitotic figure in the process of division."
raw,mitotic,ann_288.png,"Yes. The cell at the center displays distinct, condensed chromosomal material in a sharp, irregular, angular configuration characteristic of a mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell at the center displays distinct, condensed chromosomal material in a sharp, irregular, angular configuration characteristic of a mitotic figure, lacking an intact nuclear membrane."
raw,mitotic,ann_29.png,"No. The cell at the center shows a dense, dark, and round hyperchromatic nucleus with an intact nuclear membrane, lacking the characteristic condensed chromosome structures or chaotic arrangement of an active mitotic figure.",no.,"The cell at the center shows a dense, dark, and round hyperchromatic nucleus with an intact nuclear membrane, lacking the characteristic condensed chromosome structures or chaotic arrangement of an active mitotic figure."
raw,mitotic,ann_294.png,"No. The cell at the center shows a smooth, relatively uniform nuclear appearance without the condensed, distinct chromosomal structures characteristic of active mitosis.",no.,"The cell at the center shows a smooth, relatively uniform nuclear appearance without the condensed, distinct chromosomal structures characteristic of active mitosis."
raw,mitotic,ann_30.png,"YES. The cell at the center exhibits condensed, dark, elongated chromosome arms arranged in a characteristic V-shape, indicative of an active mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, elongated chromosome arms arranged in a characteristic V-shape, indicative of an active mitotic figure."
raw,mitotic,ann_301.png,"Yes. The cell at the center exhibits clearly condensed, dark, and irregularly shaped chromosomal material with no visible nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage.",yes.,"The cell at the center exhibits clearly condensed, dark, and irregularly shaped chromosomal material with no visible nuclear membrane, which is characteristic of a mitotic figure in the metaphase or anaphase stage."
raw,mitotic,ann_303.png,"Yes. The central cell displays condensed, dark chromatin forming distinct, irregular, and scattered structures characteristic of chromosomes, and lacks an intact nuclear membrane, indicative of an active mitotic figure.",yes.,"The central cell displays condensed, dark chromatin forming distinct, irregular, and scattered structures characteristic of chromosomes, and lacks an intact nuclear membrane, indicative of an active mitotic figure."
raw,mitotic,ann_305.png,"Yes. The cell at the center exhibits condensed, dark, and irregularly shaped chromosomal material that lacks an intact nuclear membrane, which is characteristic of a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark, and irregularly shaped chromosomal material that lacks an intact nuclear membrane, which is characteristic of a mitotic figure."
raw,mitotic,ann_31.png,"Yes. The cell at the center exhibits condensed, dark, irregular chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane.",yes.,"The cell at the center exhibits condensed, dark, irregular chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_310.png,"YES. The cell at the center exhibits condensed, dark, angular, and irregular chromosomal material with no visible nuclear membrane, which is characteristic of a cell undergoing mitosis.",yes.,"The cell at the center exhibits condensed, dark, angular, and irregular chromosomal material with no visible nuclear membrane, which is characteristic of a cell undergoing mitosis."
raw,mitotic,ann_316.png,"YES. The central cell displays condensed, dark chromatin in a distinct star-like, irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane.",yes.,"The central cell displays condensed, dark chromatin in a distinct star-like, irregular pattern characteristic of a mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_319.png,"YES. The cell at the center displays condensed, irregular, and dark chromosomal material arranged in a distinct, elongated, and distorted configuration that lacks an intact nuclear membrane, which are classic features of an active mitotic figure.",yes.,"The cell at the center displays condensed, irregular, and dark chromosomal material arranged in a distinct, elongated, and distorted configuration that lacks an intact nuclear membrane, which are classic features of an active mitotic figure."
raw,mitotic,ann_32.png,"Yes. The cell at the center displays characteristic, highly condensed chromosome clusters with a distinct, angular morphology and lack of a discernible nuclear membrane, indicative of an active mitotic figure.",yes.,"The cell at the center displays characteristic, highly condensed chromosome clusters with a distinct, angular morphology and lack of a discernible nuclear membrane, indicative of an active mitotic figure."
raw,mitotic,ann_321.png,"Yes. The cell exhibits condensed, dark, V-shaped chromosomal material with a lack of a clear nuclear membrane, characteristic of a mitotic figure in metaphase or anaphase.",yes.,"The cell exhibits condensed, dark, V-shaped chromosomal material with a lack of a clear nuclear membrane, characteristic of a mitotic figure in metaphase or anaphase."
raw,mitotic,ann_327.png,"YES. The cell at the center displays characteristic chromosomal condensation in a distinct, elongated, and irregular V-shaped configuration consistent with a mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell at the center displays characteristic chromosomal condensation in a distinct, elongated, and irregular V-shaped configuration consistent with a mitotic figure, lacking an intact nuclear membrane."
raw,mitotic,ann_334.png,"YES. The central cell displays clear evidence of condensed, angular, and clumped chromosomal material organized into distinct arms without an intact nuclear membrane, characteristic of a mitotic figure in metaphase or anaphase.",yes.,"The central cell displays clear evidence of condensed, angular, and clumped chromosomal material organized into distinct arms without an intact nuclear membrane, characteristic of a mitotic figure in metaphase or anaphase."
raw,mitotic,ann_34.png,"YES. The central cell exhibits a dark, irregularly shaped, and clumped chromatin structure characteristic of condensed chromosomes during mitosis, with no visible nuclear membrane.",yes.,"The central cell exhibits a dark, irregularly shaped, and clumped chromatin structure characteristic of condensed chromosomes during mitosis, with no visible nuclear membrane."
raw,mitotic,ann_343.png,"YES. The central cell displays condensed, dark, irregularly shaped chromosomes arranged in a distinct mitotic pattern, lacking a visible nuclear membrane.",yes.,"The central cell displays condensed, dark, irregularly shaped chromosomes arranged in a distinct mitotic pattern, lacking a visible nuclear membrane."
raw,mitotic,ann_344.png,"Yes. The cell at the center exhibits a dark, condensed, elongated, and irregular cluster of chromosomal material characteristic of a mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell at the center exhibits a dark, condensed, elongated, and irregular cluster of chromosomal material characteristic of a mitotic figure, lacking an intact nuclear membrane."
raw,mitotic,ann_345.png,"YES. The cell at the center exhibits densely stained, irregular chromatin clusters arranged in a manner characteristic of chromosomes actively undergoing segregation, with no visible nuclear membrane.",yes.,"The cell at the center exhibits densely stained, irregular chromatin clusters arranged in a manner characteristic of chromosomes actively undergoing segregation, with no visible nuclear membrane."
raw,mitotic,ann_349.png,"No. The cell at the center has a visible, intact nuclear membrane and a round, well-defined nucleus that lacks the condensed, chaotic chromosomal structures characteristic of active mitosis.",no.,"The cell at the center has a visible, intact nuclear membrane and a round, well-defined nucleus that lacks the condensed, chaotic chromosomal structures characteristic of active mitosis."
raw,mitotic,ann_352.png,"YES. The central cell displays highly condensed, irregular, and angular chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane.",yes.,"The central cell displays highly condensed, irregular, and angular chromosomal material characteristic of a mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_353.png,"Yes. The central cell displays highly condensed, dark, irregular chromosomal material arranged in a chaotic, asymmetrical pattern with no discernible nuclear membrane, which are hallmark features of a mitotic figure.",yes.,"The central cell displays highly condensed, dark, irregular chromosomal material arranged in a chaotic, asymmetrical pattern with no discernible nuclear membrane, which are hallmark features of a mitotic figure."
raw,mitotic,ann_362.png,"Yes. The cell at the center displays condensed, irregular, and dark chromosomal material lacking an intact nuclear membrane, which are hallmark features of a mitotic figure.",yes.,"The cell at the center displays condensed, irregular, and dark chromosomal material lacking an intact nuclear membrane, which are hallmark features of a mitotic figure."
raw,mitotic,ann_363.png,"YES. The cell at the center displays condensed, dark chromosomal material arranged in a V-shaped or irregular cluster, which is characteristic of a mitotic figure where the nuclear membrane has dissolved.",yes.,"The cell at the center displays condensed, dark chromosomal material arranged in a V-shaped or irregular cluster, which is characteristic of a mitotic figure where the nuclear membrane has dissolved."
raw,mitotic,ann_365.png,"YES. The cell at the center shows classic mitotic features, including condensed, dark chromosome arms forming a distinct, irregular, and asymmetric arrangement with no visible nuclear membrane.",yes.,"The cell at the center shows classic mitotic features, including condensed, dark chromosome arms forming a distinct, irregular, and asymmetric arrangement with no visible nuclear membrane."
raw,mitotic,ann_366.png,"YES. The cell at the center exhibits condensed, dark, angular chromosome clusters aligned in a disorganized manner characteristic of an active mitotic figure, with no visible nuclear membrane.",yes.,"The cell at the center exhibits condensed, dark, angular chromosome clusters aligned in a disorganized manner characteristic of an active mitotic figure, with no visible nuclear membrane."
raw,mitotic,ann_368.png,"YES. The central cell displays condensed, dark chromosomal material with a distinct, irregular, V-shaped configuration characteristic of a mitotic figure in the absence of a discernible nuclear membrane.",yes.,"The central cell displays condensed, dark chromosomal material with a distinct, irregular, V-shaped configuration characteristic of a mitotic figure in the absence of a discernible nuclear membrane."
raw,mitotic,ann_369.png,"YES. The cell displays condensed, irregular, and disjointed dark chromatin masses characteristic of chromosome arms during mitosis, with no visible nuclear membrane.",yes.,"The cell displays condensed, irregular, and disjointed dark chromatin masses characteristic of chromosome arms during mitosis, with no visible nuclear membrane."
raw,mitotic,ann_371.png,"Yes. The cell contains dark, irregular, and elongated condensed chromatin structures arranged in a distinct pattern typical of a metaphase plate, with no visible nuclear membrane.",yes.,"The cell contains dark, irregular, and elongated condensed chromatin structures arranged in a distinct pattern typical of a metaphase plate, with no visible nuclear membrane."
raw,mitotic,ann_373.png,"Yes. The cell at the center shows condensed, dark chromosomal material arranged in a characteristic metaphase plate configuration without a visible nuclear membrane.",yes.,"The cell at the center shows condensed, dark chromosomal material arranged in a characteristic metaphase plate configuration without a visible nuclear membrane."
raw,mitotic,ann_374.png,"YES. The cell at the center exhibits characteristic chromosome condensation with distinct, dark, irregular chromatin arranged in a dense, disorganized pattern indicative of a mitotic figure, lacking an intact nuclear membrane.",yes.,"The cell at the center exhibits characteristic chromosome condensation with distinct, dark, irregular chromatin arranged in a dense, disorganized pattern indicative of a mitotic figure, lacking an intact nuclear membrane."
raw,mitotic,ann_375.png,"Yes. The cell at the center displays characteristic dark, condensed, and irregularly shaped chromatin lacking a nuclear envelope, which is indicative of a mitotic figure in the metaphase or anaphase stage.",yes.,"The cell at the center displays characteristic dark, condensed, and irregularly shaped chromatin lacking a nuclear envelope, which is indicative of a mitotic figure in the metaphase or anaphase stage."
raw,mitotic,ann_376.png,"Yes. The central cell displays condensed, dark chromosomal material arranged in a distinct pattern with no discernible nuclear envelope, which is characteristic of a mitotic figure.",yes.,"The central cell displays condensed, dark chromosomal material arranged in a distinct pattern with no discernible nuclear envelope, which is characteristic of a mitotic figure."
raw,mitotic,ann_381.png,"Yes. The cell at the center displays characteristic chromosomal condensation with an irregular, star-like morphology and an absent nuclear membrane, which are hallmark features of a mitotic figure in metaphase.",yes.,"The cell at the center displays characteristic chromosomal condensation with an irregular, star-like morphology and an absent nuclear membrane, which are hallmark features of a mitotic figure in metaphase."
